Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,xG,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Edenílson,Atlético Mineiro,Atlético Mineiro,"RCMF, LCMF, RB",RCMF,8,34,2000000,2024-12-31,9,599,Brazil,Brazil,right,175,74,no,4.81,1.19988,4.20856,1.2,0.299985,0.9,0.16,0.08,0.9,3.757383,0.6,0.6,0.59994,MG,Testing,2024,0.4495847774451709,0.4572456076938252,0.453415192569498
1,Moisés,América Mineiro,América Mineiro,"LCMF, AMF",LCMF,8,36,800000,,8,640,Brazil,Brazil,right,184,76,no,4.78,2.673216,7.596959999999999,0.98,0.705,1.69,0.16,0.12,0.98,8.579526,1.27,0.28,1.40479,MG,Testing,2024,1.0,1.0,1.0
2,Juninho,América Mineiro,América Mineiro,"RCMF, RDMF",RCMF,8,36,400000,2024-12-31,9,864,Brazil,Brazil,right,170,66,no,4.17,0.94,3.752000000000001,2.81,0.6240000000000001,0.73,0.05,0.08,0.83,2.602459999999999,0.63,0.31,0.835,MG,Testing,2024,0.4379333721348886,0.4311175503591995,0.4345254612470441
3,Lucas Nathan,Pouso Alegre,Pouso Alegre,"LCMF, LW, CF",LCMF,8,25,250000,,8,543,Brazil,Brazil,left,185,76,no,4.48,0.824967,3.312,0.5,1.327092,1.16,0.15,0.04,0.5,2.323917,0.17,0.17,0.662824,MG,Testing,2024,0.2178603366507374,0.2410211490380466,0.229440742844392
4,Kaio Mendes,Tombense,Tombense,"RCMF, AMF, RDMF",RCMF,8,28,250000,,8,775,Brazil,Brazil,right,173,66,no,5.69,1.626748,2.668116,0.81,0.464,0.93,0.03,0.06,0.93,4.645500999999999,0.23,0.23,0.9309440000000001,MG,Testing,2024,0.1663086753281869,0.2705363596739483,0.2184225175010676
5,Gerson Magrão,Ipatinga,Ipatinga,"LCMF, AMF, CF",LCMF,8,38,200000,2024-04-30,8,658,Brazil,Brazil,left,181,78,no,3.97,1.77653,5.201469,0.96,0.8182499999999999,1.37,0.02,0.16,1.23,2.735648,0.55,0.68,0.9546000000000001,MG,Testing,2024,0.7546953412114726,0.5938059112151615,0.674250626213317
6,Nestor Mansur,Pouso Alegre,Pouso Alegre,"LCMF, LW",LCMF,8,26,0,,11,807,Brazil,Brazil,left,178,69,no,3.46,1.448009,2.67423,1.67,0.556611,0.56,0.23,0.23,1.56,3.23712,0.33,0.45,0.8927320000000001,MG,Testing,2024,0.2100798643417673,0.2607263853036674,0.2354031248227174
7,Henrique Caivano,Pouso Alegre,Pouso Alegre,"LCMF, DMF",LCMF,8,22,0,,11,566,Brazil,Brazil,right,0,0,no,7.95,1.90727,2.860143,0.16,0.635,0.16,0.0,0.01,0.32,2.543841,0.48,0.0,0.64,MG,Testing,2024,0.2068508112265516,0.2349641618212301,0.2209074865238909
8,Magno,Pouso Alegre,Pouso Alegre,RCMF,RCMF,8,31,0,,12,1073,Brazil,Brazil,right,175,70,no,4.53,1.26133,1.673982,1.51,0.336,0.34,0.12,0.01,0.17,2.179395,0.08,0.08,0.168367,MG,Testing,2024,0.0,0.0,0.0
9,Sabino,Uberlândia,Uberlândia,"LCMF, RCMF",LCMF,8,24,0,,10,924,Brazil,Brazil,right,180,77,no,6.33,1.654114,3.313033,0.68,0.8788039999999999,0.78,0.13,0.02,0.49,3.215406,0.19,0.0,0.098,MG,Testing,2024,0.1682140308402732,0.1809135423231681,0.1745637865817207
10,Marinho,Patrocinense,Patrocinense,"LCMF, LDMF",LCMF,8,28,0,,8,770,Brazil,Brazil,unknown,0,0,no,7.71,1.752,3.273497,0.94,1.521,0.94,0.11,0.03,0.35,3.624743999999999,0.35,0.23,0.468548,MG,Testing,2024,0.3661060948099831,0.3770046794018136,0.3715553871058984
11,Gustavo Crecci,Itabirito,Itabirito,"RCMF, RDMF",RCMF,8,29,0,,9,589,Brazil,Brazil,,0,0,no,13.45,0.6123230000000001,2.751612000000001,0.31,1.224646,0.31,0.02,0.07,0.46,1.833425,0.0,0.31,0.153318,MG,Testing,2024,0.3386513005533953,0.3382810331272201,0.3384661668403077
12,Fabrício Bigode,Itabirito,Itabirito,"LCMF, LDMF, RCMF",LCMF,8,25,0,,10,928,Brazil,Brazil,right,175,72,no,5.92,4.267806,5.915162,0.58,0.483372,0.68,0.11,0.08,0.78,4.94528,0.39,0.1,0.2925,MG,Testing,2024,0.6743953356469161,0.6746485831580027,0.6745219594024594
13,Paranhos,Ipatinga,Ipatinga,"RCMF, RDMF",RCMF,8,29,0,,8,608,Brazil,Brazil,,0,0,no,7.99,1.48167,1.923207,1.33,1.034474,0.3,0.12,0.02,0.59,2.959852,0.15,0.15,0.444,MG,Testing,2024,0.1817345160891965,0.1905821904038633,0.1861583532465299
0,N. de la Cruz,Flamengo,Flamengo,"LCMF, RCMF",LCMF,8,26,11000000,2025-12-31,9,757,Uruguay,Uruguay,right,167,65,no,7.25,2.139207,7.845823999999999,1.66,1.188164,1.19,0.13,0.2,2.26,7.968235999999999,1.78,0.95,1.9008,RJ,Testing,2024,0.9588812077966247,0.9640822838448525,0.9614817458207385
1,Martinelli,Fluminense,Fluminense,"RCMF, LCMF, LCB",RCMF,8,22,5000000,2025-12-31,7,660,Brazil,"Brazil, Italy",right,177,75,no,5.86,2.184498,3.816,0.55,0.8200409999999999,1.64,0.09,0.0,0.41,6.273,0.14,0.0,0.40717,RJ,Testing,2024,0.1731124687123279,0.1934296782916533,0.1832710735019906
2,E. Pulgar,Flamengo,Flamengo,"RCMF, DMF",RCMF,8,30,5000000,2025-12-31,9,722,Chile,Chile,right,187,74,no,7.98,1.368125,4.986729,0.62,0.25,0.25,0.06,0.04,0.62,6.106802,0.75,0.37,0.875,RJ,Testing,2024,0.56150782538944,0.5488811144371868,0.5551944699133133
3,Marlon Freitas,Botafogo,Botafogo,"RCMF, DMF",RCMF,8,29,2700000,2025-12-31,13,1019,Brazil,Brazil,right,185,78,no,6.36,3.35295,4.242616000000001,1.5,0.352,1.06,0.11,0.13,1.24,4.772540999999999,1.41,0.62,1.235661,RJ,Testing,2024,0.4236027830088255,0.451000703097844,0.4373017430533347
4,P. Galdames,Vasco da Gama,Vasco da Gama,"RCMF, LCMF",RCMF,8,27,2000000,2024-06-30,7,586,Chile,Chile,right,176,68,yes,4.3,1.6885,3.688,1.69,0.459954,0.0,0.26,0.14,1.08,3.989375,1.08,0.92,1.382235,RJ,Testing,2024,0.2211436769011078,0.2557048556362045,0.2384242662686561
5,Tchê Tchê,Botafogo,Botafogo,"RCMF, LCMF, RB",RCMF,8,31,1800000,2025-12-31,9,898,Brazil,Brazil,right,175,66,no,3.81,2.7075,4.608779,0.8,0.99997,1.0,0.12,0.02,0.8,6.216876000000001,0.6,0.2,0.5000399999999999,RJ,Testing,2024,0.32384757639095,0.3294814236107613,0.3266645000008556
6,Carlos Eduardo,Botafogo,Botafogo,"LCMF, RWF",LCMF,8,34,1500000,2024-12-31,9,699,Brazil,Brazil,right,184,72,no,5.02,1.15722,4.506250000000001,1.16,1.030614,1.16,0.2,0.1,0.77,4.895307000000001,0.77,0.26,0.385436,RJ,Testing,2024,0.3272898387981531,0.2894680345653145,0.3083789366817338
