Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Matheus Pereira,Cruzeiro,Cruzeiro,"AMF, CF, RAMF",AMF,9,27,7000000,2026-06-30,10,1025,Brazil,"Brazil, Portugal",left,175,74,yes,1.4053,9.217476,4.826892,3.60036,1.580625,0.19,2.2,4.828668,0.7886240000000001,0.7,MG,Testing,2024,0.8592494458176597,0.838713774492974,0.8489816101553169
1,Neto,Villa Nova,Villa Nova,"AMF, RCMF, RDMF",AMF,9,21,500000,2024-12-31,6,504,Brazil,Brazil,right,178,75,yes,1.60875,4.822272,2.674893,4.285,1.425508,0.01,0.71,3.395466,0.0,0.0,MG,Testing,2024,0.4834463804816969,0.4900110429118409,0.4867287116967689
2,David Braga,Athletic Club,Athletic Club,"AMF, CF",AMF,9,22,0,,10,645,Brazil,Brazil,left,186,89,no,0.556611,4.3245,2.932306,4.187835000000001,1.535305,0.07,0.56,2.372189,0.42,0.42,MG,Testing,2024,0.5329206547480132,0.4898744264206664,0.5113975405843398
3,Robert Santos,Athletic Club,Athletic Club,"AMF, CF",AMF,9,20,0,,7,622,Brazil,Brazil,unknown,0,0,no,2.606797,5.64324,4.773228,3.906,2.31714,0.17,1.16,2.747225,0.725,0.43,MG,Testing,2024,1.0,1.0,1.0
4,Bruninho,Democrata GV,Democrata GV,AMF,AMF,9,23,0,,11,1011,Brazil,Brazil,,0,0,no,1.06672,4.5406,3.116542,2.849516,0.98,0.03,0.62,2.138877,0.0,0.09,MG,Testing,2024,0.0,0.0,0.0
0,David,Vasco da Gama,Vasco da Gama,"AMF, RW, CF",AMF,9,28,1700000,2025-12-31,11,650,Brazil,Brazil,right,180,71,yes,0.4125,3.043195,2.214723,2.76963,1.524258,0.13,0.83,1.521722,0.0,0.55,RJ,Testing,2024,0.0,0.0,0.0
1,Nenê Bonilha,Portuguesa RJ,Portuguesa RJ,"AMF, CF, LCMF",AMF,9,32,200000,,10,682,Brazil,Brazil,right,175,69,no,0.7375,4.557836,2.503548,2.35458,0.294271,0.08,0.88,4.114562,0.146652,0.74,RJ,Testing,2024,0.276030740808437,0.3339643792790746,0.3049975600437558
2,Yago Ferreira,Nova Iguaçu,Nova Iguaçu,"AMF, CF",AMF,9,22,0,,11,893,Brazil,Brazil,,0,0,no,0.69,2.52369,2.52588,3.43875,2.065852,0.11,1.61,1.836179,0.345,0.57,RJ,Testing,2024,1.0,1.0,1.0
0,F. Cristaldo,Grêmio,Grêmio,"AMF, LCMF, CF",AMF,9,27,7000000,2026-12-31,13,817,Argentina,Argentina,right,175,69,no,1.985217,8.524344,5.836305000000001,2.803044,0.583275,0.14,1.63,4.319091,0.468548,0.7,RS,Testing,2024,0.5532816995149104,0.6708611621585787,0.5995849243913266
1,Jean Carlos,Juventude,Juventude,"AMF, CF, LCMF",AMF,9,32,900000,2024-12-31,15,1210,Brazil,Brazil,left,178,69,no,1.9344,6.2478,3.496304,1.337393,0.522345,0.25,2.01,3.865730000000001,0.446622,0.6,RS,Testing,2024,0.0,0.06236781383137058,0.0
2,Bruno Henrique,Internacional,Internacional,"AMF, RAMF, LCMF",AMF,9,34,700000,,13,775,Brazil,"Brazil, Italy",right,179,75,no,2.1692,11.60082,5.863,1.912653,0.253308,0.3,1.27,8.032755000000002,0.765,0.76,RS,Testing,2024,0.7197411730495105,0.893283275276468,0.8002843086338247
3,Tomas Bastos,Caxias,Caxias,"AMF, RW",AMF,9,31,400000,,13,941,Brazil,Brazil,left,175,79,no,1.03,6.089424,4.440453,1.753808,0.308592,0.13,1.34,3.820806,0.104,0.1,RS,Testing,2024,0.08689729903464266,0.0,0.01265951576278023
4,Rafael Mineiro,Santa Cruz RS,Santa Cruz RS,"AMF, RW, CF",AMF,9,32,0,,10,612,Brazil,Brazil,right,183,71,no,0.58825,5.591018,2.938121999999999,5.590035,2.942916,0.15,1.47,2.94375,0.293304,0.44,RS,Testing,2024,1.0,1.0,1.0
5,Guilherme Garré,Novo Hamburgo,Novo Hamburgo,"AMF, CF",AMF,9,30,0,,11,880,Brazil,Brazil,right,174,71,no,1.34,5.80512,3.68097,3.4608,1.116756,0.23,1.45,3.461488,0.335625,0.22,RS,Testing,2024,0.4916363036104758,0.4295922656868921,0.4432527295927422
0,Raphael Veiga,Palmeiras,Palmeiras,"AMF, CF",AMF,9,28,14000000,2026-12-31,11,898,Brazil,Brazil,left,178,73,no,1.906119,7.013952000000001,4.1082,2.807858,0.9000199999999999,0.29,2.61,3.9078,0.2,0.5,SP,Testing,2024,0.5500922093411492,0.6230184388494675,0.5865553240953084
1,Lucas Moura,São Paulo,São Paulo,"AMF, CF, LAMF",AMF,9,31,9000000,2026-12-31,7,573,Brazil,Brazil,right,174,70,no,0.785,5.658198000000001,3.92876,8.01308,4.867848,0.2,0.94,2.830972,0.1575,0.63,SP,Testing,2024,1.0,1.0,1.0
2,Luciano,São Paulo,São Paulo,"AMF, RAMF, CF",AMF,9,30,3000000,2026-12-31,13,865,Brazil,Brazil,left,181,77,no,1.771798,3.432,1.76471,2.912436,1.142757,0.03,0.83,1.77075,0.104,0.1,SP,Testing,2024,0.0,0.0,0.0
3,Thonny Anderson,Ituano,Ituano,"AMF, CF, RWF",AMF,9,26,1500000,2024-12-31,9,526,Brazil,Brazil,right,184,81,yes,0.5425,4.526352,3.443895,6.159216,3.076524,0.04,0.91,3.624000000000001,0.363297,0.36,SP,Testing,2024,0.7157783396355573,0.743162914791556,0.7294706272135567
4,J. Cazares,Santos,Santos,"AMF, CF",AMF,9,31,1000000,,11,576,Ecuador,Ecuador,right,171,63,no,1.878,7.188,2.9716,2.342076,0.78,0.22,1.72,2.969614,0.47,0.16,SP,Testing,2024,0.3623330579443761,0.4170503514986911,0.3896917047215336
5,Luan Dias,Água Santa,Água Santa,"AMF, CF",AMF,9,26,750000,2025-06-30,11,960,Brazil,Brazil,left,181,74,no,1.0296,5.534419000000001,2.999126,4.689544000000001,2.53125,0.12,1.22,3.189912,0.46875,0.38,SP,Testing,2024,0.5775581612450439,0.5937540786608502,0.5856561199529471
6,Chico,Mirassol,Mirassol,"AMF, CF, LCMF",AMF,9,32,600000,,9,683,Brazil,"Brazil, Korea Republic",right,175,69,no,0.7904960000000001,6.71925,3.690006,2.766684,1.45,0.29,2.11,3.296079,0.661164,0.53,SP,Testing,2024,0.4866778973976375,0.4843596532767672,0.4855187753372024
7,Eduardo Person,Ituano,Ituano,"AMF, LAMF",AMF,9,27,100000,,11,888,Brazil,Brazil,right,174,72,no,1.308,7.288968,3.590649,4.677675000000001,2.39427,0.15,1.09,3.3728,0.325736,0.44,SP,Testing,2024,0.7091403550267609,0.7526636062758786,0.7309019806513197
8,Endrick,Palmeiras,Palmeiras,"AMF, CF, RWB",AMF,9,17,0,,8,648,Brazil,Brazil,left,171,64,no,0.6945,5.413200000000001,4.584365999999999,6.807548,2.916303,0.14,1.67,3.0555,0.69375,1.11,SP,Testing,2024,0.9971808613067412,0.9768998657229668,0.9870403635148541
