Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Passes_Inteligentes_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Gustavo Scarpa,Atlético Mineiro,Atlético Mineiro,"LW, RCMF",LW,10,30,12000000,2026-06-30,10,776,Brazil,"Brazil, Italy",left,176,74,no,2.088,9.509979,5.682257000000001,3.01419,1.38952,0.05,0.232238,0.0,0.15,1.39,0.34875,0.695213,0.58,MG,Testing,2024,0.9108738205602134,0.8766132807601958,0.893665634247474
1,Igor Gomes,Atlético Mineiro,Atlético Mineiro,"LW, AMF, LCMF",LW,10,25,5500000,2026-12-31,11,782,Brazil,Brazil,right,183,73,no,2.648113,7.712696999999999,4.719143,3.566779,1.954862,0.11,0.115,0.0,0.07,0.69,0.116655,0.345,0.23,MG,Testing,2024,0.8571860782999241,0.735519318201973,0.7962033664474379
2,Arthur Gomes,Cruzeiro,Cruzeiro,"LW, LAMF, LWF",LW,10,25,4000000,2027-06-30,11,889,Brazil,Brazil,right,174,69,no,0.7070000000000001,4.352888,3.947664000000001,4.859494,3.238128,0.11,1.011704,11.765,0.19,1.21,0.102,0.102,0.51,MG,Testing,2024,0.9020754763922068,0.8216541274816695,0.8617635092702646
3,Vitor Jacaré,América Mineiro,América Mineiro,"LW, LAMF, RW",LW,10,24,1400000,,9,647,Brazil,Brazil,right,178,72,no,1.529496,2.91954,4.171875,4.591125,2.502386,0.15,0.5575,6.25,0.29,1.39,0.0,0.277129,0.7,MG,Testing,2024,0.8722948489046545,0.8216237424802575,0.8468470730202747
4,Fabinho,América Mineiro,América Mineiro,"RWF, RW, RAMF",RWF,11,24,1000000,,7,619,Brazil,Brazil,left,180,75,no,0.582164,3.197799,2.908217,2.6172,1.743573,0.15,0.58,10.0,0.03,0.87,0.145,0.145,0.15,MG,Testing,2024,0.3449332832230624,0.3193934510788063,0.3316736516085365
5,Johnatan Cardoso,Itabirito,Itabirito,"RW, CF, RAMF",RW,10,26,400000,,10,838,Brazil,Brazil,right,172,62,no,0.215,2.039226,1.825577,2.042328,1.1825,0.16,0.53844,7.692,0.24,0.97,0.0,0.0,0.21,MG,Testing,2024,0.001465498236232932,0.0,0.0
6,Welinton Torrão,Athletic Club,Athletic Club,"RAMF, RW, LW",RAMF,10,24,100000,,10,790,Brazil,Brazil,right,183,75,no,0.569208,3.645468,3.418535,2.050704,1.47939,0.15,0.455396,15.385,0.19,1.25,0.0,0.115,0.68,MG,Testing,2024,0.3555039542630712,0.3397971531235287,0.3471721946946806
7,Vico,Ipatinga,Ipatinga,"RW, RAMF, RWF",RW,10,27,100000,,10,787,Brazil,Brazil,left,174,68,no,0.457732,3.776495,1.489068,3.775966,0.345,0.08,0.8,7.143,0.01,0.34,0.0,0.115,0.0,MG,Testing,2024,0.0,0.05278041428510122,0.02567627229031139
8,Thiaguinho,Pouso Alegre,Pouso Alegre,"LW, LWF, LAMF",LW,10,25,0,,9,580,Brazil,Brazil,right,173,66,no,1.704969,5.276835,3.255,4.034767,1.709324,0.23,1.242245,0.0,0.06,1.09,0.0,0.0,0.47,MG,Testing,2024,0.6621330081253665,0.5776559201295188,0.6196157378948398
9,Rafael Conceição,Athletic Club,Athletic Club,"LAMF, LW, LCMF",LAMF,10,20,0,,10,544,Brazil,Brazil,unknown,0,0,no,0.498,3.141168,1.16,2.813359,1.98445,0.19,0.995,25.0,0.02,0.33,0.0,0.0,0.17,MG,Testing,2024,0.155979220245909,0.1717780813126157,0.1632655343374505
