Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Gustavo Scarpa,Atlético Mineiro,Atlético Mineiro,"LW, RCMF",LW,10,30,12000000,2026-06-30,10,776,Brazil,"Brazil, Italy",left,176,74,no,4.87,2.43402,9.509979,5.682257000000001,3.01419,0.05,0.15,MG,Testing,2024,0.9860307901409793,1.0,0.9999999999999999
1,Igor Gomes,Atlético Mineiro,Atlético Mineiro,"LW, AMF, LCMF",LW,10,25,5500000,2026-12-31,11,782,Brazil,Brazil,right,183,73,no,2.99,1.265184,7.712696999999999,4.719143,3.566779,0.11,0.07,MG,Testing,2024,1.0,0.9095404654105703,0.9611366648101348
2,Arthur Gomes,Cruzeiro,Cruzeiro,"LW, LAMF, LWF",LW,10,25,4000000,2027-06-30,11,889,Brazil,Brazil,right,174,69,no,3.04,1.820622,4.352888,3.947664000000001,4.859494,0.11,0.19,MG,Testing,2024,0.7750775051355785,0.6483808721932364,0.7141672450110744
3,Vitor Jacaré,América Mineiro,América Mineiro,"LW, LAMF, RW",LW,10,24,1400000,,9,647,Brazil,Brazil,right,178,72,no,4.45,2.36544,2.91954,4.171875,4.591125,0.15,0.29,MG,Testing,2024,0.6953522738360036,0.6963241657796574,0.6980194236665708
4,Fabinho,América Mineiro,América Mineiro,"RWF, RW, RAMF",RWF,11,24,1000000,,7,619,Brazil,Brazil,left,180,75,no,4.07,1.45241,3.197799,2.908217,2.6172,0.15,0.03,MG,Testing,2024,0.2547728043814117,0.1951215514738471,0.2195171696103867
5,Johnatan Cardoso,Itabirito,Itabirito,"RW, CF, RAMF",RW,10,26,400000,,10,838,Brazil,Brazil,right,172,62,no,3.44,1.826172,2.039226,1.825577,2.042328,0.16,0.24,MG,Testing,2024,0.01772817896283962,0.05003941742326205,0.02536555121147981
6,Welinton Torrão,Athletic Club,Athletic Club,"RAMF, RW, LW",RAMF,10,24,100000,,10,790,Brazil,Brazil,right,183,75,no,2.85,1.13928,3.645468,3.418535,2.050704,0.15,0.19,MG,Testing,2024,0.349882363154174,0.3019949065596539,0.3221409944088523
7,Vico,Ipatinga,Ipatinga,"RW, RAMF, RWF",RW,10,27,100000,,10,787,Brazil,Brazil,left,174,68,no,4.8,1.373196,3.776495,1.489068,3.775966,0.08,0.01,MG,Testing,2024,0.0,0.09838906447615961,0.0409237591624074
8,Thiaguinho,Pouso Alegre,Pouso Alegre,"LW, LWF, LAMF",LW,10,25,0,,9,580,Brazil,Brazil,right,173,66,no,6.98,3.26025,5.276835,3.255,4.034767,0.23,0.06,MG,Testing,2024,0.8825320111756796,0.883589203382837,0.8882679662108353
9,Rafael Conceição,Athletic Club,Athletic Club,"LAMF, LW, LCMF",LAMF,10,20,0,,10,544,Brazil,Brazil,unknown,0,0,no,5.13,2.649478,3.141168,1.16,2.813359,0.19,0.02,MG,Testing,2024,0.1936145190546338,0.2258355454015987,0.2040489818960794
10,Gabriel Neto,Pouso Alegre,Pouso Alegre,RW,RW,10,23,0,,10,654,Brazil,Brazil,unknown,0,0,no,5.92,2.475,2.06272,2.204472,2.613715,0.15,0.29,MG,Testing,2024,0.3815182935417472,0.4236888717783353,0.400045110368291
11,Vinicius Balotelli,Uberlândia,Uberlândia,LW,LW,10,25,0,,10,703,Brazil,Brazil,right,179,70,no,4.48,1.663872,3.202176,2.429388,4.096863,0.2,0.13,MG,Testing,2024,0.3263415082463849,0.3210590756665577,0.319866472220161
12,Jefferson,Uberlândia,Uberlândia,"RW, CF",RW,10,27,0,,10,1015,Brazil,Brazil,left,179,75,no,4.34,2.746695,1.153008,0.8867110000000001,4.080122,0.14,0.02,MG,Testing,2024,0.01784343934571769,0.0,0.0
