Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Gustavo Scarpa,Atlético Mineiro,Atlético Mineiro,"LW, RCMF",LW,10,30,12000000,2026-06-30,10,776,Brazil,"Brazil, Italy",left,176,74,no,3.01419,1.28,1.38952,0.35,1.86,0.05,0.232238,0.0,0.15,1.39,1.04,1.04,0.58,MG,Testing,2024,0.5123558569653952,0.4985467710828766,0.5155051378236736
1,Igor Gomes,Atlético Mineiro,Atlético Mineiro,"LW, AMF, LCMF",LW,10,25,5500000,2026-12-31,11,782,Brazil,Brazil,right,183,73,no,3.566779,1.61,1.954862,0.69,0.46,0.11,0.115,0.0,0.07,0.69,0.69,0.35,0.23,MG,Testing,2024,0.3258596907072764,0.2640039680113246,0.3007982551909922
2,Arthur Gomes,Cruzeiro,Cruzeiro,"LW, LAMF, LWF",LW,10,25,4000000,2027-06-30,11,889,Brazil,Brazil,right,174,69,no,4.859494,3.54,3.238128,0.91,2.94,0.11,1.011704,11.765,0.19,1.21,1.32,1.52,0.51,MG,Testing,2024,1.0,0.960994282842719,1.0
3,Vitor Jacaré,América Mineiro,América Mineiro,"LW, LAMF, RW",LW,10,24,1400000,,9,647,Brazil,Brazil,right,178,72,no,4.591125,1.67,2.502386,0.83,1.81,0.15,0.5575,6.25,0.29,1.39,1.53,1.25,0.7,MG,Testing,2024,0.836529070735776,0.8540499320026339,0.8621029737464064
4,Fabinho,América Mineiro,América Mineiro,"RWF, RW, RAMF",RWF,11,24,1000000,,7,619,Brazil,Brazil,left,180,75,no,2.6172,2.33,1.743573,0.15,1.6,0.15,0.58,10.0,0.03,0.87,1.02,0.58,0.15,MG,Testing,2024,0.5935541092506567,0.5050527856948112,0.5602295246638316
5,Johnatan Cardoso,Itabirito,Itabirito,"RW, CF, RAMF",RW,10,26,400000,,10,838,Brazil,Brazil,right,172,62,no,2.042328,2.26,1.1825,0.75,1.4,0.16,0.53844,7.692,0.24,0.97,0.32,0.97,0.21,MG,Testing,2024,0.5792380731771873,0.5750356941649541,0.5886165897785637
6,Welinton Torrão,Athletic Club,Athletic Club,"RAMF, RW, LW",RAMF,10,24,100000,,10,790,Brazil,Brazil,right,183,75,no,2.050704,3.53,1.47939,1.03,2.39,0.15,0.455396,15.385,0.19,1.25,0.91,1.71,0.68,MG,Testing,2024,0.8419547314553864,0.8657831500958796,0.8708530649440115
7,Vico,Ipatinga,Ipatinga,"RW, RAMF, RWF",RW,10,27,100000,,10,787,Brazil,Brazil,left,174,68,no,3.775966,0.11,0.345,0.23,0.46,0.08,0.8,7.143,0.01,0.34,0.57,0.11,0.0,MG,Testing,2024,0.0,0.0,0.0
8,Thiaguinho,Pouso Alegre,Pouso Alegre,"LW, LWF, LAMF",LW,10,25,0,,9,580,Brazil,Brazil,right,173,66,no,4.034767,2.33,1.709324,1.09,1.55,0.23,1.242245,0.0,0.06,1.09,0.62,0.31,0.47,MG,Testing,2024,0.7515138213281718,0.7283286845592052,0.7546388680655156
9,Rafael Conceição,Athletic Club,Athletic Club,"LAMF, LW, LCMF",LAMF,10,20,0,,10,544,Brazil,Brazil,unknown,0,0,no,2.813359,1.82,1.98445,0.83,0.83,0.19,0.995,25.0,0.02,0.33,0.5,0.0,0.17,MG,Testing,2024,0.4764988519634475,0.4370867358025519,0.4658787614829947
10,Gabriel Neto,Pouso Alegre,Pouso Alegre,RW,RW,10,23,0,,10,654,Brazil,Brazil,unknown,0,0,no,2.613715,1.79,1.5125,1.1,1.93,0.15,0.965,0.0,0.29,1.51,0.14,0.96,0.55,MG,Testing,2024,0.6712216020385371,0.68796845737332,0.6931127088456028
11,Vinicius Balotelli,Uberlândia,Uberlândia,LW,LW,10,25,0,,10,703,Brazil,Brazil,right,179,70,no,4.096863,1.79,2.173418,0.77,1.41,0.2,0.638436,7.692,0.13,0.77,1.02,0.26,0.13,MG,Testing,2024,0.6074522873070969,0.5776535006844441,0.6043392366619114
12,Jefferson,Uberlândia,Uberlândia,"RW, CF",RW,10,27,0,,10,1015,Brazil,Brazil,left,179,75,no,4.080122,1.6,2.12567,0.8,0.89,0.14,0.7980000000000002,13.333,0.02,0.35,0.35,0.18,0.35,MG,Testing,2024,0.5120244198256496,0.4362948976136189,0.4835910669074236
13,Felipinho,Tombense,Tombense,"RW, AMF, RAMF",RW,10,21,0,,8,622,Brazil,Brazil,left,179,70,no,3.905564,2.32,2.023434,0.29,1.59,0.16,1.301524,7.692,0.12,1.01,0.72,0.29,0.29,MG,Testing,2024,0.7247553848149386,0.6709526771666638,0.7117348960132307
14,Rafinha,Tombense,Tombense,"LW, LAMF, LWF",LW,10,24,0,,8,749,Brazil,Brazil,,0,0,no,4.808961999999999,2.88,2.404854,0.96,1.8,0.16,0.5999760000000001,7.692,0.11,0.84,1.08,0.24,0.6,MG,Testing,2024,0.8796534384444674,0.8237794425416597,0.8686577497394725
15,Hudson,Patrocinense,Patrocinense,"RW, RB, RCMF",RW,10,23,0,,8,545,Brazil,Brazil,right,181,0,yes,0.8250660000000001,0.83,0.495,0.66,0.66,0.12,0.331412,28.571,0.07,0.66,0.17,0.66,0.33,MG,Testing,2024,0.2337620166356917,0.2048599771664592,0.2236732649553218
16,Marcílio,Patrocinense,Patrocinense,"LW, RW, RAMF",LW,10,24,0,,9,577,Brazil,Brazil,left,170,70,no,4.681290000000001,2.34,2.963844,0.16,2.03,0.1,0.7807379999999999,7.692,0.14,0.78,1.25,0.47,0.31,MG,Testing,2024,0.7621854928033569,0.7012386958742294,0.7462664228455376
17,Branquinho,Itabirito,Itabirito,"LW, LAMF, CF",LW,10,34,0,,10,546,Brazil,Brazil,right,170,65,no,2.802036,2.31,1.484868,0.66,2.31,0.35,0.99,30.0,0.0,0.16,0.49,0.33,0.0,MG,Testing,2024,0.5738346018306291,0.5537318869660912,0.5749973361279588
