Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Éverson,Atlético Mineiro,Atlético Mineiro,GK,GK,0,33,2500000,2025-12-31,11,1138,Brazil,Brazil,right,192,86,no,0.08,60.0,-0.299,1.34,1.66,0.601010101010101,2.506329113924051,MG,Testing,2024,0.0,0.0,0.0
1,Rafael Cabral,Cruzeiro,Cruzeiro,GK,GK,0,33,600000,2024-12-31,11,1154,Brazil,"Brazil, Portugal",right,186,83,no,0.23,78.38,0.149,0.94,1.48,0.7854671280276817,4.661290322580645,MG,Testing,2024,0.6666171957619049,0.6505789107152492,0.659
2,Felipe Garcia,Tombense,Tombense,GK,GK,0,36,200000,,8,841,Brazil,Brazil,right,193,92,no,0.7525,73.53,-0.123,1.5,1.07,0.7362637362637363,3.791666666666667,MG,Testing,2024,0.949847288153992,0.9709395143531161,0.96
3,Dalberson,América Mineiro,América Mineiro,GK,GK,0,27,200000,2024-06-30,9,926,Brazil,Brazil,left,191,85,no,0.39,84.38,0.502,1.46,1.26,0.842443729903537,6.346938775510204,MG,Testing,2024,1.0,1.0,1.0
4,Thiago Braga,Pouso Alegre,Pouso Alegre,GK,GK,0,39,100000,,12,1270,Brazil,Brazil,right,187,81,no,0.4259999999999999,59.09,0.133,1.77,1.28,0.5918803418803419,2.450261780104712,MG,Testing,2024,0.3802710676876464,0.3485414290965796,0.364
5,Jefferson Luis,Athletic Club,Athletic Club,GK,GK,0,29,0,2024-11-30,10,1057,Brazil,Brazil,right,192,84,no,0.5142599999999999,78.72,0.191,0.6,1.02,0.7875,4.705882352941177,MG,Testing,2024,0.8244277717113512,0.8626338382398,0.844
6,Rafael Pin,Uberlândia,Uberlândia,GK,GK,0,31,0,,9,928,Brazil,Brazil,right,186,80,no,0.1,67.65,-0.2,1.16,1.26,0.6757575757575758,3.08411214953271,MG,Testing,2024,0.1183741836277074,0.1528706520183877,0.136
7,Glaycon,Villa Nova,Villa Nova,GK,GK,0,35,0,,6,632,Brazil,Brazil,right,192,95,no,0.57,62.5,-0.386,1.85,1.14,0.6257309941520468,2.671875,MG,Testing,2024,0.4112437252868829,0.496854169519729,0.454
8,Cairo,Patrocinense,Patrocinense,GK,GK,0,39,0,,7,725,Brazil,Brazil,right,0,0,no,0.246679,59.38,-0.254,1.61,1.49,0.5944584382871536,2.46583850931677,MG,Testing,2024,0.01946060162324365,0.04424291822719083,0.032
9,Elias,Itabirito,Itabirito,GK,GK,0,28,0,,8,864,Brazil,Brazil,right,187,74,no,0.21,70.73,0.056,1.04,0.73,0.7072599531615924,3.415999999999999,MG,Testing,2024,0.3209047689022589,0.2782480747108844,0.3
10,Luis Augusto,Democrata GV,Democrata GV,GK,GK,0,30,0,,11,1165,Brazil,Brazil,,191,85,no,0.462834,71.62,-0.133,1.08,1.39,0.7167832167832168,3.530864197530864,MG,Testing,2024,0.6249225470951619,0.6229996206285898,0.624
11,Douglas Baldini,Ipatinga,Ipatinga,GK,GK,0,29,0,,6,645,Brazil,Brazil,,194,84,no,0.14,66.67,0.015,0.56,1.95,0.6672794117647058,3.005524861878453,MG,Testing,2024,0.0978726426909613,0.07659786280538051,0.087
0,A. Rossi,Flamengo,Flamengo,GK,GK,0,28,7000000,,10,1032,Argentina,"Argentina, Italy",right,193,95,no,0.0,100.0,0.17,1.31,0.61,1.0,0.0,RJ,Testing,2024,0.5099517133813718,0.6197694820809875,0.5655655655655656
1,Léo Jardim,Vasco da Gama,Vasco da Gama,GK,GK,0,28,3000000,2025-12-31,11,1184,Brazil,"Brazil, Italy",right,188,82,no,0.153341,83.02,0.286,0.91,0.38,0.8312655086848635,5.926470588235294,RJ,Testing,2024,0.6378077455723388,0.6348930521677677,0.6366366366366367
2,R. Fernández,Botafogo,Botafogo,GK,GK,0,35,600000,2024-12-31,11,1154,Paraguay,Paraguay,right,191,81,no,0.391651,67.57,0.051,0.78,0.78,0.6747404844290658,3.074468085106383,RJ,Testing,2024,0.5654212433751897,0.4583955531137215,0.5125125125125126
3,Fábio,Fluminense,Fluminense,GK,GK,0,43,200000,,6,634,Brazil,"Brazil, Italy",right,190,93,no,0.4274999999999999,76.19,0.007,1.14,0.71,0.761744966442953,4.19718309859155,RJ,Testing,2024,0.8902199710128209,0.8252742855680117,0.8588588588588589
4,Mota,Madureira,Madureira,GK,GK,0,38,100000,,11,1105,Brazil,Brazil,right,195,86,no,0.326683,75.51,0.376,1.71,1.3,0.7543859649122807,4.071428571428572,RJ,Testing,2024,1.0,0.9193241737315674,0.9609609609609611
5,Fabrício,Nova Iguaçu,Nova Iguaçu,GK,GK,0,38,100000,,13,1394,Brazil,Brazil,right,193,93,no,0.350007,75.47,0.183,1.82,1.12,0.7547169811320755,4.076923076923077,RJ,Testing,2024,0.9964171381614793,0.9537064554751673,0.9759759759759761
