Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Paulinho,Atlético Mineiro,Atlético Mineiro,"CF, AMF, RAMF",CF,12,23,7500000,,10,1011,Brazil,Brazil,right,177,80,no,2.1376,1.245,0.53,0.32,10.0,0.5625,0.1797752808988764,0.11,0.62,MG,Testing,2024,0.5346140906096648,0.4806934527221101,0.5076537716658873
1,J. Dinenno,Cruzeiro,Cruzeiro,"CF, RWF",CF,12,29,4500000,2024-12-31,11,946,Argentina,Argentina,right,186,82,no,1.996599,0.76,0.0,0.44,18.519,1.090909090909091,0.1712062256809339,0.0,0.1,MG,Testing,2024,0.2267950824425574,0.2611847266159587,0.243989904529258
2,Hulk,Atlético Mineiro,Atlético Mineiro,CF,CF,12,37,2500000,2024-12-31,9,915,Brazil,Brazil,left,180,85,no,6.0,2.656017,0.39,0.44,15.0,1.340909090909091,0.1119592875318066,0.16,1.48,MG,Testing,2024,1.0,1.0,1.0
3,Jonathas,Athletic Club,Athletic Club,CF,CF,12,35,300000,,10,752,Brazil,Brazil,right,192,81,no,1.79493,0.600048,0.0,0.77,36.842,1.090909090909091,0.3392070484581498,0.02,0.48,MG,Testing,2024,0.9363668951196362,0.8559823400401628,0.8961746175798995
4,Guilherme Santos,Villa Nova,Villa Nova,"CF, AMF",CF,12,22,200000,2024-12-31,6,530,Brazil,Brazil,left,181,76,yes,2.377355,0.68,0.17,0.44,11.111,0.7727272727272728,0.1437908496732026,0.1,1.19,MG,Testing,2024,0.5399381783981196,0.5953171773063004,0.56762767785221
5,Da Silva,Itabirito,Itabirito,CF,CF,12,25,100000,,8,552,Brazil,Brazil,right,187,0,no,1.793,0.653366,0.0,0.27,6.25,0.5925925925925926,0.103448275862069,0.05,0.98,MG,Testing,2024,0.1653912677591461,0.1622964141452841,0.1638438409522151
6,Caiuby,Patrocinense,Patrocinense,"CF, LW, AMF",CF,12,35,75000,,8,503,Brazil,Brazil,left,184,85,no,2.50512,1.253708,0.36,0.14,14.286,1.285714285714286,0.112,0.04,0.89,MG,Testing,2024,0.410594332309024,0.4331446852451719,0.4218695087770979
7,Caio Mancha,Villa Nova,Villa Nova,CF,CF,12,31,50000,,6,516,Brazil,Brazil,right,188,87,no,2.094211,0.8714460000000002,0.0,0.23,40.0,1.521739130434782,0.264367816091954,0.03,0.35,MG,Testing,2024,0.8904722790837811,0.814265382140733,0.852368830612257
8,David Lima,Pouso Alegre,Pouso Alegre,CF,CF,12,24,0,,10,773,Brazil,Brazil,,0,0,no,2.329767,0.69824,0.12,0.43,5.556,0.2790697674418605,0.2047619047619048,0.03,0.58,MG,Testing,2024,0.0,0.0,0.0
9,Igor Bahia,Tombense,Tombense,CF,CF,12,31,0,,8,803,Brazil,Brazil,,0,0,no,2.46654,0.781622,0.0,0.76,22.222,0.8815789473684211,0.2508250825082509,0.01,0.22,MG,Testing,2024,0.4069097441171903,0.4169886681386791,0.4119492061279346
10,Everton Kanela,Patrocinense,Patrocinense,CF,CF,12,28,0,,8,658,Brazil,Brazil,right,0,0,no,5.746526999999999,3.55875,0.27,0.5,12.5,0.82,0.1524390243902439,0.04,0.68,MG,Testing,2024,0.5408209480793051,0.5592784702932909,0.5500497091862979
11,Gutinho,Democrata GV,Democrata GV,CF,CF,12,32,0,,11,588,Brazil,Brazil,unknown,0,0,no,4.132139,0.4575,0.0,0.23,12.5,0.6521739130434782,0.1885245901639344,0.02,0.92,MG,Testing,2024,0.30741552553794,0.2794569249782606,0.2934362252581003
12,Luis Felipe,Ipatinga,Ipatinga,CF,CF,12,23,0,2024-12-31,10,785,Brazil,Brazil,,0,0,yes,1.950228,1.49265,0.92,0.41,27.778,1.390243902439024,0.1990291262135922,0.05,0.23,MG,Testing,2024,0.8388206002902141,0.7583130113247475,0.7985668058074806
0,Pedro,Flamengo,Flamengo,CF,CF,12,26,22000000,2027-12-31,10,800,Brazil,Brazil,right,186,78,no,2.250895,1.123462,0.0,1.08,23.684,0.9351851851851851,0.2523364485981309,0.08,0.79,RJ,Testing,2024,0.8806154890173048,0.8887597609201637,0.8846876249687343
1,G. de Arrascaeta,Flamengo,Flamengo,"CF, RCMF",CF,12,29,19000000,2026-12-31,11,973,Uruguay,"Uruguay, Italy",right,172,70,no,4.626335,2.308842,0.09,0.22,12.5,1.272727272727273,0.09909909909909909,0.26,1.85,RJ,Testing,2024,0.8866120015271932,0.9146495487288256,0.9006307751280094
2,Tiquinho Soares,Botafogo,Botafogo,CF,CF,12,33,4000000,2024-12-31,9,732,Brazil,Brazil,right,187,89,no,3.321,0.61536,0.12,0.24,16.667,1.541666666666667,0.1085972850678733,0.14,1.11,RJ,Testing,2024,0.8077587923603502,0.7921751253623304,0.7999669588613403
3,G. Cano,Fluminense,Fluminense,CF,CF,12,36,2000000,2025-12-31,5,528,Argentina,"Argentina, Colombia",right,177,72,no,1.023231,0.339966,0.0,0.58,9.524,0.5862068965517242,0.1620111731843575,0.0,0.17,RJ,Testing,2024,0.2058416495852741,0.2336130911912138,0.2197273703882439
4,Renato Augusto,Fluminense,Fluminense,"CF, LCMF, AMF",CF,12,36,2000000,,8,566,Brazil,Brazil,right,186,86,no,1.431,0.633365,0.32,0.23,0.0,0.0,0.09623430962343096,0.23,1.59,RJ,Testing,2024,0.4123642506379516,0.2810446479802663,0.3467044493091089
5,Patrick Machado,Brusque,Audax Rio,"CF, AMF",CF,12,25,450000,2024-06-30,6,529,Brazil,Brazil,left,175,65,no,9.016512,3.5742,0.68,0.13,0.0,0.0,0.06951871657754011,0.13,0.85,RJ,Testing,2024,0.4637880232264065,0.3695376058905191,0.4166628145584628
6,P. Vegetti,Vasco da Gama,Vasco da Gama,CF,CF,12,35,450000,2025-12-31,9,876,Argentina,Argentina,right,187,86,no,1.9532,0.3074999999999999,0.1,0.63,18.182,0.6507936507936507,0.2787610619469027,0.13,0.41,RJ,Testing,2024,0.7183520263707761,0.7458037693938655,0.7320778978823208
7,Cleyton Silva,Bangu,Bangu,"CF, AMF, RW",CF,12,34,350000,,6,605,Brazil,Brazil,right,176,72,no,2.676048,0.74375,0.6,0.17,0.0,0.0,0.08808290155440415,0.02,0.6,RJ,Testing,2024,0.0,0.0,0.0
8,Matheus Lucas,Boavista,Boavista,CF,CF,12,25,300000,,14,982,Brazil,Brazil,right,180,80,no,3.481272,0.7328,0.27,0.58,20.0,1.103448275862069,0.1806853582554517,0.07,0.92,RJ,Testing,2024,0.7983924326273426,0.8420551145077962,0.8202237735675695
9,Patrick Carvalho,Portuguesa RJ,Portuguesa RJ,CF,CF,12,27,100000,,10,610,Brazil,Brazil,right,178,69,no,1.985046,1.069152,0.0,0.41,33.333,1.073170731707317,0.2971014492753623,0.0,0.0,RJ,Testing,2024,0.7982607230186494,0.7890517411738938,0.7936562320962716
10,Rodrigão,Madureira,Madureira,CF,CF,12,30,0,,8,503,Brazil,Brazil,right,186,92,no,1.431357,0.7142499999999999,0.0,0.66,21.429,0.8181818181818182,0.264,0.04,0.72,RJ,Testing,2024,0.7514601227663897,0.7381752551531733,0.7448176889597815
11,João Maranhão,Bangu,Bangu,CF,CF,12,21,0,,10,779,Brazil,Brazil,,0,0,no,4.043124,1.502176,0.69,0.23,22.222,1.0,0.2211538461538461,0.04,0.35,RJ,Testing,2024,0.7370350131043886,0.7400818646907952,0.7385584388975919
12,Italo Carvalho,Volta Redonda,Volta Redonda,CF,CF,12,27,0,,11,899,Brazil,Brazil,right,183,79,no,4.704474,1.69988,0.2,0.49,9.091,0.4081632653061225,0.2227272727272727,0.09,1.4,RJ,Testing,2024,0.6685983463758969,0.7061019458533601,0.6873501461146285
13,Lelê,Fluminense,Fluminense,CF,CF,12,26,0,,10,805,Brazil,Brazil,right,189,83,no,2.515714,1.257857,0.5,0.43,17.857,1.558139534883721,0.1221590909090909,0.02,0.38,RJ,Testing,2024,0.5894137840282478,0.5769094158493723,0.58316159993881
