Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Guilherme Arana,Atlético Mineiro,Atlético Mineiro,"LB, LWB",LB,1,26,12000000,2027-12-31,10,994,Brazil,Brazil,left,176,66,no,6.43,1.357768,8.418567000000001,2.35,2.353451,1.27,1.267296,1.99,0.63,0.14,0.54,5.521634000000001,0.27,0.81,0.907034,MG,Testing,2024,0.6439034577561122,0.6208484846409614,0.6323759711985368
1,R. Saravia,Atlético Mineiro,Atlético Mineiro,"RB, RCB, RWB",RB,1,30,2500000,2025-12-31,9,650,Argentina,Argentina,right,178,73,no,7.75,1.2456,6.783215999999999,1.66,1.799226,0.0,1.108516,1.66,1.8,0.04,0.83,5.125974,0.28,0.55,1.108516,MG,Testing,2024,0.3876812844144499,0.4107190825240807,0.3992001834692653
2,William Furtado,Cruzeiro,Cruzeiro,"RB, RWB",RB,1,28,2000000,2024-12-31,11,1021,Brazil,Brazil,right,176,68,no,9.96,1.850376,6.608114999999999,3.17,1.674195,1.85,0.793654,1.23,0.35,0.2,1.41,3.08654,1.06,1.76,2.29,MG,Testing,2024,0.644708719223799,0.7494453497282918,0.6970770344760454
3,Marlon,Cruzeiro,Cruzeiro,"LB, LWB",LB,1,26,2000000,2026-12-31,9,906,Brazil,Brazil,left,174,68,no,8.94,2.484216,5.762159999999999,1.49,1.29,0.79,0.4954050000000001,1.39,0.5,0.06,0.79,5.06377,0.3,0.7,0.5957539999999999,MG,Testing,2024,0.3586187332814519,0.3998695445235914,0.3792441389025216
4,Marlon,América Mineiro,América Mineiro,LB,LB,1,30,700000,2025-12-31,8,729,Brazil,Brazil,left,177,69,no,10.99,1.731008,6.295833,3.58,3.085588,1.11,1.8525,2.72,0.99,0.19,0.86,3.459256,0.49,1.11,1.1115,MG,Testing,2024,0.6608825340344133,0.6679204936654559,0.6644015138499346
5,Bryan,Itabirito,Itabirito,LB,LB,1,31,300000,,9,890,Brazil,Brazil,left,177,72,no,5.46,2.8336,5.766178,1.11,1.618864,0.71,0.0,0.81,0.1,0.14,1.21,3.640182,0.3,0.3,0.808808,MG,Testing,2024,0.124403587742481,0.182282343301054,0.1533429655217675
6,Yuri,Athletic Club,Athletic Club,LB,LB,1,28,200000,2024-04-10,10,938,Brazil,Brazil,left,175,74,no,8.16,2.208,4.606452,2.21,2.301992,1.15,1.537066,0.96,0.29,0.09,0.77,2.593227,0.38,0.67,0.7658099999999999,MG,Testing,2024,0.2534022598751773,0.2571793119448973,0.2552907859100373
7,Douglas Pelé,Athletic Club,Athletic Club,"RB, RAMF, RW",RB,1,24,100000,,11,1176,Brazil,Brazil,right,171,69,no,6.43,1.45376,4.667574,3.52,3.751924,1.45,2.449548000000001,1.68,1.22,0.1,1.15,2.528036,0.38,0.99,0.995694,MG,Testing,2024,0.3157497957279647,0.3249031905704964,0.3203264931492306
8,Emerson,Tombense,Tombense,LB,LB,1,25,100000,,7,666,Brazil,Brazil,left,179,73,no,8.11,1.35,4.4616,1.76,2.162208,0.27,1.08,1.49,1.08,0.02,0.54,2.699892,0.0,0.54,0.54,MG,Testing,2024,0.09068860340895113,0.02775384118713881,0.05922122229804497
9,Pedro Costa,Tombense,Tombense,RB,RB,1,30,50000,,8,829,Brazil,Brazil,right,184,80,no,8.58,2.820141,8.468148,4.45,2.497665,0.54,2.390857,2.17,0.87,0.1,1.3,3.473225,0.33,1.95,2.06302,MG,Testing,2024,0.8618248277216072,0.9524597805395099,0.9071423041305585
10,Léo Príncipe,Pouso Alegre,Pouso Alegre,RB,RB,1,27,10000,,10,797,Brazil,Brazil,right,173,68,no,8.92,2.257552,4.968445999999999,1.81,1.804059,1.69,1.015782,1.24,0.45,0.1,1.02,2.710402,0.9,0.68,0.7891360000000001,MG,Testing,2024,0.26710255818247,0.3091273931907383,0.2881149756866042
11,Vinicio,Pouso Alegre,Pouso Alegre,LB,LB,1,23,0,,10,975,Brazil,Brazil,unknown,175,0,no,7.94,1.65942,6.001481999999999,2.4,2.028935,0.09,1.202574,1.57,0.28,0.05,0.46,3.320844,0.65,1.02,1.845622,MG,Testing,2024,0.3766301075538821,0.4525266555440681,0.4145783815489751
12,Ynaiã,Athletic Club,Athletic Club,"RB, LB",RB,1,24,0,,11,687,Brazil,Brazil,right,172,67,no,8.78,2.095869,4.325922,2.88,3.668388,0.79,2.2304,2.62,0.79,0.13,0.79,2.751948,0.26,0.39,0.6544800000000001,MG,Testing,2024,0.2529727225818666,0.2773005088555411,0.2651366157187038
13,Dávisson,Uberlândia,Uberlândia,RB,RB,1,22,0,,8,528,Brazil,Brazil,unknown,0,0,no,8.69,2.55576,4.433616000000001,1.36,2.725163,0.51,1.195,1.19,0.68,0.02,0.17,2.726221999999999,0.51,0.34,0.509949,MG,Testing,2024,0.1130913200126628,0.1260139111688294,0.1195526155907461
14,Tiago Baiano,Uberlândia,Uberlândia,RB,RB,1,28,0,,8,537,Brazil,Brazil,right,178,69,no,9.39,2.34832,5.365682000000001,3.69,2.679866,0.0,2.01,2.51,2.01,0.01,0.34,2.008545,0.0,1.34,1.34,MG,Testing,2024,0.4158507673119096,0.4077366734959469,0.4117937204039283
15,João Victor,Uberlândia,Uberlândia,LB,LB,1,25,0,,9,904,Brazil,Brazil,,174,77,no,8.76,1.096191,5.274951,2.39,2.289372,0.9,1.494603,1.79,0.6,0.06,0.7,3.486,0.4,0.6,0.595335,MG,Testing,2024,0.3472896669502106,0.3095161688074384,0.3284029178788245
16,Maurício,Villa Nova,Villa Nova,RB,RB,1,22,0,,6,589,Brazil,Brazil,right,0,0,no,11.0,1.6808,6.573775999999999,3.06,4.123392,0.31,2.445699,1.22,0.61,0.01,0.61,4.27592,0.31,0.46,0.61178,MG,Testing,2024,0.5741992315791247,0.5245138049602718,0.5493565182696982
17,Charles,Villa Nova,Villa Nova,LB,LB,1,29,0,,7,508,Brazil,Brazil,left,177,74,no,6.56,2.83402,10.09732,2.13,1.592591,0.0,0.53,1.06,0.0,0.06,0.71,7.084332000000001,0.35,1.42,1.417072,MG,Testing,2024,1.0,1.0,1.0
18,Ailton Santos,Patrocinense,Patrocinense,LB,LB,1,26,0,,7,666,Brazil,Brazil,,0,0,no,7.43,1.892204,3.649497,2.03,2.972013,0.54,1.619865,1.62,1.08,0.02,0.27,2.2984,0.14,0.54,0.269973,MG,Testing,2024,0.0,0.0,0.0
19,Nando Sa,Patrocinense,Patrocinense,RB,RB,1,35,0,,8,730,Brazil,Brazil,,0,0,no,7.15,1.848498,3.699778,2.1,1.971502,0.49,1.478305,1.36,0.37,0.04,0.37,2.592385,0.37,0.62,0.8647800000000001,MG,Testing,2024,0.05136954575756664,0.05130206698789402,0.05133580637273033
