Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Laterais_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Zé Ivaldo,Cruzeiro,Cruzeiro,"RCB, LCB",RCB,4,27,3000000,,8,613,Brazil,Brazil,right,185,78,no,4.99,2.495181000000001,1.76293,0.44,4.52,19.383904,MG,Testing,2024,0.3961822693728018,0.3945545791144904,0.395368424243646
1,Jemerson,Atlético Mineiro,Atlético Mineiro,LCB,LCB,4,31,2000000,2024-12-31,10,1022,Brazil,"Brazil, Monaco",right,184,77,no,7.66,3.963452,1.674516,0.53,5.29,20.874334,MG,Testing,2024,0.6718178058682913,0.7168962604044569,0.694357033136374
2,Bruno Fuchs,Atlético Mineiro,Atlético Mineiro,"RCB, CB",RCB,4,25,1800000,2024-12-31,7,692,Brazil,Brazil,right,190,85,no,8.19,3.51,2.209909,0.65,7.29,23.929215,MG,Testing,2024,1.0,1.0,1.0
3,Éder,América Mineiro,América Mineiro,"LCB, RCB",LCB,4,28,1500000,2024-12-31,7,641,Brazil,Brazil,right,184,82,no,5.76,1.407171,2.665476,0.56,6.47,19.377692,MG,Testing,2024,0.5902198613651124,0.5937317147319288,0.5919757880485206
4,Neris,Cruzeiro,Cruzeiro,"LCB, CB",LCB,4,31,700000,2024-12-31,8,720,Brazil,Brazil,right,190,88,no,7.5,3.500025,1.75253,0.25,7.44,20.129326,MG,Testing,2024,0.8888871641391795,0.8951203208443623,0.8920037424917708
5,João Marcelo,Cruzeiro,Cruzeiro,"LCB, RCB",LCB,4,23,550000,2027-06-30,9,889,Brazil,Brazil,right,190,84,no,6.28,3.034010000000001,2.331,0.4,5.09,20.453472,MG,Testing,2024,0.6095639062964406,0.5919606065574082,0.6007622564269244
6,Ricardo Silva,América Mineiro,América Mineiro,RCB,RCB,4,31,300000,,7,717,Brazil,Brazil,right,190,84,no,6.78,2.636516,4.1415,0.38,6.67,31.503816,MG,Testing,2024,0.9531444609095183,0.986781568295186,0.9699630146023521
7,Ednei,Tombense,Tombense,"RCB, LCB",RCB,4,33,250000,,8,841,Brazil,Brazil,right,189,81,no,5.78,1.928475,2.890814999999999,0.43,5.27,22.04685,MG,Testing,2024,0.5634989039379379,0.562244576847238,0.5628717403925879
8,Cleylton,Ipatinga,Ipatinga,LCB,LCB,4,31,200000,,7,753,Brazil,Brazil,right,190,83,no,6.57,1.79375,2.272951,0.84,6.67,20.791425,MG,Testing,2024,0.7299437650807761,0.7308201990807022,0.7303819820807391
9,Danilo Cardoso,Athletic Club,Athletic Club,RCB,RCB,4,26,150000,,8,864,Brazil,Brazil,right,183,77,no,6.88,2.08561,3.018678,0.63,7.21,11.8792,MG,Testing,2024,0.5907299279676641,0.6051092125046575,0.5979195702361608
10,Zé Vitor,Tombense,Tombense,LCB,LCB,4,23,100000,,6,544,Brazil,Brazil,left,189,86,no,6.95,2.8152,1.8216,0.5,6.41,23.823872,MG,Testing,2024,0.8728928282919949,0.8600695833755794,0.866481205833787
11,Ruan,Ipatinga,Ipatinga,RCB,RCB,4,25,100000,,5,530,Brazil,Brazil,right,186,78,no,9.68,4.073058,2.38,1.36,6.77,15.619468,MG,Testing,2024,0.9077254823241245,0.9216803369429214,0.9147029096335229
12,Edson Miranda,Athletic Club,Athletic Club,"LCB, RCB",LCB,4,24,0,,9,882,Brazil,Brazil,right,183,78,no,5.41,1.735335,3.162,0.92,6.07,14.793597,MG,Testing,2024,0.4196725344330057,0.4355047541820663,0.427588644307536
13,Felipe Moreira,Pouso Alegre,Pouso Alegre,RCB,RCB,4,21,0,,11,1152,Brazil,Brazil,,0,0,no,6.02,2.2678,1.64,0.78,5.07,14.451109,MG,Testing,2024,0.3607676041905188,0.366802222154901,0.3637849131727099
14,Alex Alves,Pouso Alegre,Pouso Alegre,"LCB, CB",LCB,4,31,0,,12,1270,Brazil,Brazil,left,181,84,no,5.31,2.40822,2.832624,0.64,3.48,13.464966,MG,Testing,2024,0.2283786741621921,0.2272538475726525,0.2278162608674223
15,Mendonça,Uberlândia,Uberlândia,"LCB, CB",LCB,4,28,0,,10,1029,Brazil,Brazil,left,0,0,no,8.05,3.064256,2.71271,0.7,6.0,11.277936,MG,Testing,2024,0.5849463169903002,0.649954361721302,0.6174503393558011
16,Adryan,Uberlândia,Uberlândia,"RCB, CB",RCB,4,23,0,2024-11-30,7,716,Brazil,Brazil,right,183,79,no,5.78,1.883484,1.88778,0.75,5.03,14.458459,MG,Testing,2024,0.3341257844572346,0.3315438375967412,0.3328348110269879
17,Jamerson,Uberlândia,Uberlândia,RCB,RCB,4,29,0,,5,530,Brazil,Brazil,right,188,81,no,4.25,1.020051,0.8499490000000001,0.0,3.86,5.091463,MG,Testing,2024,0.0,0.0,0.0
18,Alex Paulino,Villa Nova,Villa Nova,"LCB, DMF, LDMF",LCB,4,22,0,,6,567,Brazil,Brazil,unknown,0,0,no,6.98,4.285337000000001,1.270984,0.32,4.05,16.987386,MG,Testing,2024,0.6037098516794265,0.5702356418501425,0.5869727467647845
19,Renan Arantes,Villa Nova,Villa Nova,RCB,RCB,4,22,0,,6,598,Brazil,Brazil,,0,0,no,6.92,1.356908,2.258865,0.45,9.0,19.868896,MG,Testing,2024,0.7934510499949325,0.805782791973218,0.7996169209840751
20,Guilherme Souza,Patrocinense,Patrocinense,RCB,RCB,4,27,0,,7,647,Brazil,Brazil,right,188,79,no,8.35,3.475968,2.088378,0.7,5.78,13.6318,MG,Testing,2024,0.6686395474598474,0.7470532956534747,0.707846421556661
21,Leo Alves,Patrocinense,Patrocinense,LCB,LCB,4,31,0,,7,668,Brazil,Brazil,,0,0,no,8.08,3.37117,1.213212,0.27,5.47,11.31566,MG,Testing,2024,0.5738394877346552,0.5725885111356266,0.5732139994351408
22,Rayan,Itabirito,Itabirito,LCB,LCB,4,27,0,,7,713,Brazil,Brazil,,0,0,no,6.94,2.526793,2.90544,0.5,6.11,16.027298,MG,Testing,2024,0.6398168473444216,0.644538598755453,0.6421777230499373
23,Lucas Costa,Itabirito,Itabirito,RCB,RCB,4,28,0,,10,1093,Brazil,Brazil,right,189,82,no,6.42,1.975674,2.718522000000001,0.41,6.39,14.079,MG,Testing,2024,0.5742925377267276,0.5510692837820017,0.5626809107543647
