Unnamed: 0,Duelos_Aéreos_Ganhos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Aéreos_Ganhos_LM,Defesas_LM,Gols_Evitados_LM,Saídas_LM,Interceptações.1_LM,xG_Evitado_LM,Finalizações_por_Gol_Sofrido_LM,Duelos_Aéreos_Ganhos_Rank,Defesas_Rank,Gols_Evitados_Rank,Saídas_Rank,Interceptações.1_Rank,xG_Evitado_Rank,Finalizações_por_Gol_Sofrido_Rank,Duelos_Aéreos_Ganhos_Percentil,Defesas_Percentil,Gols_Evitados_Percentil,Saídas_Percentil,Interceptações.1_Percentil,xG_Evitado_Percentil,Finalizações_por_Gol_Sofrido_Percentil
3,0.460967,1.0,1.0,0.697674,0.434426,1.0,1.0,1.0,Dalberson,América Mineiro,América Mineiro,GK,GK,0,27,200000,2024-06-30,9,926,Brazil,Brazil,left,191,85,no,MG,Testing,2024,Goleiro,1.0,1,12,91,0.391855,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,6,1.0,1,5.0,7.5,1,1,50,91,91,58,37,91,91
2,1.0,0.570977,0.296171,0.728682,0.278689,0.576235,0.344243,0.96,Felipe Garcia,Tombense,Tombense,GK,GK,0,36,200000,,8,841,Brazil,Brazil,right,193,92,no,MG,Testing,2024,Goleiro,0.96,2,12,83,0.391855,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,1,4.0,7,4.0,10.0,4,4,91,66,41,66,16,66,66
5,0.64574,0.776196,0.649775,0.031008,0.237705,0.780719,0.578857,0.844,Jefferson Luis,Athletic Club,Athletic Club,GK,GK,0,29,0,2024-11-30,10,1057,Brazil,Brazil,right,192,84,no,MG,Testing,2024,Goleiro,0.844,3,12,75,0.391855,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,3,2.0,2,11.0,11.0,2,2,75,83,83,8,8,83,83
1,0.223048,0.762752,0.602477,0.294574,0.614754,0.772606,0.567414,0.659,Rafael Cabral,Cruzeiro,Cruzeiro,GK,GK,0,33,600000,2024-12-31,11,1154,Brazil,"Brazil, Portugal",right,186,83,no,MG,Testing,2024,Goleiro,0.659,4,12,66,0.391855,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,8,3.0,3,10.0,4.0,3,3,33,75,75,16,66,75,75
10,0.56927,0.495453,0.28491,0.403101,0.540984,0.498488,0.277314,0.624,Luis Augusto,Democrata GV,Democrata GV,GK,GK,0,30,0,,11,1165,Brazil,Brazil,,191,85,no,MG,Testing,2024,Goleiro,0.624,5,12,58,0.391855,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,4,5.0,8,8.0,5.0,5,5,66,58,33,33,58,58,58
7,0.728625,0.134836,0.0,1.0,0.336066,0.135098,0.056872,0.454,Glaycon,Villa Nova,Villa Nova,GK,GK,0,35,0,,6,632,Brazil,Brazil,right,192,95,no,MG,Testing,2024,Goleiro,0.454,6,12,50,0.391855,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,2,9.0,12,1.0,9.0,9,9,83,25,0,91,25,25,25
4,0.514498,0.0,0.584459,0.937984,0.45082,0.0,0.0,0.364,Thiago Braga,Pouso Alegre,Pouso Alegre,GK,GK,0,39,100000,,12,1270,Brazil,Brazil,right,187,81,no,MG,Testing,2024,Goleiro,0.364,7,12,41,0.391855,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,5,12.0,4,2.0,6.0,12,12,58,0,66,83,50,0,0
9,0.193309,0.460261,0.497748,0.372093,0.0,0.460481,0.247836,0.3,Elias,Itabirito,Itabirito,GK,GK,0,28,0,,8,864,Brazil,Brazil,right,187,74,no,MG,Testing,2024,Goleiro,0.3,8,12,33,0.391855,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,9,6.0,5,9.0,12.0,6,6,25,50,58,25,0,50,50
6,0.02974,0.338474,0.209459,0.465116,0.434426,0.334755,0.162664,0.136,Rafael Pin,Uberlândia,Uberlândia,GK,GK,0,31,0,,9,928,Brazil,Brazil,right,186,80,no,MG,Testing,2024,Goleiro,0.136,9,12,25,0.391855,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,11,7.0,9,7.0,7.5,7,7,8,41,25,41,37,41,41
11,0.089219,0.299723,0.451577,0.0,1.0,0.300918,0.142497,0.087,Douglas Baldini,Ipatinga,Ipatinga,GK,GK,0,29,0,,6,645,Brazil,Brazil,,194,84,no,MG,Testing,2024,Goleiro,0.087,10,12,16,0.391855,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,10,8.0,6,12.0,1.0,8,8,16,33,50,0,91,33,33
8,0.24785,0.011467,0.148649,0.813953,0.622951,0.010289,0.003997,0.032,Cairo,Patrocinense,Patrocinense,GK,GK,0,39,0,,7,725,Brazil,Brazil,right,0,0,no,MG,Testing,2024,Goleiro,0.032,11,12,8,0.391855,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,7,11.0,10,3.0,3.0,11,11,41,8,16,75,75,8,8
0,0.0,0.035983,0.097973,0.604651,0.762295,0.036437,0.014388,0.0,Éverson,Atlético Mineiro,Atlético Mineiro,GK,GK,0,33,2500000,2025-12-31,11,1138,Brazil,Brazil,right,192,86,no,MG,Testing,2024,Goleiro,0.0,12,12,0,0.391855,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,12,10.0,11,6.0,2.0,10,10,0,16,8,50,83,16,16
11,1.0,0.387569,0.374787,0.367521,0.827869,0.389254,0.698259,1.0,Leandro Matheus,Sampaio Corrêa RJ,Sampaio Corrêa RJ,GK,GK,0,23,0,,11,1167,Brazil,Brazil,left,191,0,no,RJ,Testing,2024,Goleiro,1.0,1,12,91,0.512307,0.368242,0.447757,0.450142,0.589481,0.368213,0.593804,1,4.0,7,7.5,4.0,4,3,91,66,41,37,66,66,75
5,0.570656,0.380243,0.67121,1.0,0.606557,0.380072,0.687918,0.975976,Fabrício,Nova Iguaçu,Nova Iguaçu,GK,GK,0,38,100000,,13,1394,Brazil,Brazil,right,193,93,no,RJ,Testing,2024,Goleiro,0.976,2,12,83,0.512307,0.368242,0.447757,0.450142,0.589481,0.368213,0.593804,6,7.0,3,1.0,7.0,6,5,50,41,75,91,41,50,58
4,0.532629,0.381253,1.0,0.905983,0.754098,0.379236,0.68699,0.960961,Mota,Madureira,Madureira,GK,GK,0,38,100000,,11,1105,Brazil,Brazil,right,195,86,no,RJ,Testing,2024,Goleiro,0.961,3,12,75,0.512307,0.368242,0.447757,0.450142,0.589481,0.368213,0.593804,7,6.0,1,2.0,5.0,7,6,41,50,91,83,58,41,50
3,0.697002,0.398434,0.37138,0.418803,0.270492,0.397835,0.70821,0.858859,Fábio,Fluminense,Fluminense,GK,GK,0,43,200000,,6,634,Brazil,"Brazil, Italy",right,190,93,no,RJ,Testing,2024,Goleiro,0.859,4,12,66,0.512307,0.368242,0.447757,0.450142,0.589481,0.368213,0.593804,3,3.0,8,6.0,10.0,3,2,75,75,33,50,16,75,83
6,0.827083,0.193785,0.015332,0.461538,0.991803,0.193888,0.529032,0.776777,André Luiz,Boavista,Boavista,GK,GK,0,24,100000,,15,1588,Brazil,Brazil,right,189,79,no,RJ,Testing,2024,Goleiro,0.777,5,12,58,0.512307,0.368242,0.447757,0.450142,0.589481,0.368213,0.593804,2,10.0,11,5.0,2.0,10,9,83,16,8,58,83,16,25
9,0.403528,0.38378,0.359455,0.65812,0.852459,0.386626,0.695267,0.644645,Dida,Portuguesa RJ,Portuguesa RJ,GK,GK,0,38,0,,12,1168,Brazil,Brazil,,190,81,no,RJ,Testing,2024,Goleiro,0.645,6,12,50,0.512307,0.368242,0.447757,0.450142,0.589481,0.368213,0.593804,9,5.0,9,3.0,3.0,5,4,25,58,25,75,75,58,66
