Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Ações_Ofensivas_BemSucedidas_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Ações_Ofensivas_BemSucedidas_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Ações_Ofensivas_BemSucedidas_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
11,0.567342,0.778916,0.097952,0.814712,0.69425,0.840286,0.271186,0.120047,0.251179,0.304,0.813822,1.0,Gabriel Galhardo,XV de Piracicaba,Patrocinense,"DMF, RDMF, RCMF",DMF,7,30,0,,7,705,Brazil,Brazil,right,170,65,no,MG,Testing,2024,Primeiro Volante Equilibrado,1.0,1,13,92,0.467681,0.360461,0.311234,0.384887,0.499069,0.421688,0.392438,0.463204,0.325616,0.6,0.44557,4,2,11,2,5,2,10.0,12,9,11.0,2,69,84,15,84,61,84,23,7,30,15,84
12,0.0,0.0,0.07745,1.0,1.0,1.0,0.389831,0.348852,0.0,0.728,1.0,0.746643,Alemão,Democrata GV,Democrata GV,"LDMF, RDMF, LCMF",LDMF,7,36,0,,11,991,Brazil,Brazil,right,0,0,no,MG,Testing,2024,Primeiro Volante Equilibrado,0.747,2,13,84,0.467681,0.360461,0.311234,0.384887,0.499069,0.421688,0.392438,0.463204,0.325616,0.6,0.44557,13,13,12,1,1,1,6.0,10,13,6.0,1,0,0,7,92,92,92,53,23,0,53,92
4,0.491061,0.362339,0.444604,0.00835,0.793231,0.542816,0.355932,0.763901,0.366828,0.992,0.740848,0.625655,Alê,América Mineiro,América Mineiro,"DMF, LDMF",DMF,7,33,400000,2025-12-31,8,728,Brazil,Brazil,right,184,74,no,MG,Testing,2024,Primeiro Volante Equilibrado,0.626,3,13,76,0.467681,0.360461,0.311234,0.384887,0.499069,0.421688,0.392438,0.463204,0.325616,0.6,0.44557,7,6,3,12,3,4,9.0,3,5,3.0,4,46,53,76,7,76,69,30,76,61,76,69
3,1.0,1.0,0.494598,0.402763,0.0,0.252823,1.0,1.0,1.0,0.328,0.0,0.55926,Wallisson,Athletic Club,Athletic Club,"LDMF, RDMF, RCMF",LDMF,7,26,500000,2025-12-31,7,664,Brazil,Brazil,right,184,73,no,MG,Testing,2024,Primeiro Volante Equilibrado,0.559,4,13,69,0.467681,0.360461,0.311234,0.384887,0.499069,0.421688,0.392438,0.463204,0.325616,0.6,0.44557,1,1,2,7,13,9,1.0,1,1,10.0,13,92,92,84,46,0,30,92,92,92,23,0
8,0.665077,0.264759,1.0,0.252254,0.269136,0.144316,0.084746,0.0,0.001792,0.0,0.165415,0.546885,Mikael,Tombense,Tombense,"DMF, LDMF, RCMF",DMF,7,30,50000,,8,651,Brazil,Brazil,right,184,83,no,MG,Testing,2024,Primeiro Volante Equilibrado,0.547,5,13,61,0.467681,0.360461,0.311234,0.384887,0.499069,0.421688,0.392438,0.463204,0.325616,0.6,0.44557,2,9,1,9,10,11,12.0,13,12,13.0,11,84,30,92,30,23,15,7,0,7,0,15
0,0.342074,0.115838,0.0,0.45416,0.932527,0.767477,0.220339,0.433786,0.337566,0.376,0.686693,0.372077,L. Romero,Cruzeiro,Cruzeiro,"RDMF, RCMF, LCMF",RDMF,7,29,3200000,2025-12-31,8,758,Argentina,Argentina,right,170,68,no,MG,Testing,2024,Primeiro Volante Equilibrado,0.372,6,13,53,0.467681,0.360461,0.311234,0.384887,0.499069,0.421688,0.392438,0.463204,0.325616,0.6,0.44557,10,11,13,4,2,3,11.0,6,6,9.0,5,23,15,0,69,84,76,15,53,53,30,61
2,0.35876,0.317826,0.248769,0.449325,0.590129,0.429925,0.584746,0.391293,0.258312,1.0,0.774588,0.371842,Lucas Silva,Cruzeiro,Cruzeiro,"LDMF, RCMF, LCMF",LDMF,7,31,1000000,,10,866,Brazil,Brazil,right,181,76,no,MG,Testing,2024,Primeiro Volante Equilibrado,0.372,7,13,46,0.467681,0.360461,0.311234,0.384887,0.499069,0.421688,0.392438,0.463204,0.325616,0.6,0.44557,9,7,7,5,6,6,2.0,8,8,1.5,3,30,46,46,61,53,53,84,38,38,88,76
5,0.479142,0.391842,0.360133,0.152751,0.462023,0.360237,0.372881,0.590137,0.46397,1.0,0.375376,0.314507,Diego Fumaça,Athletic Club,Athletic Club,"RDMF, LDMF, RCMF",RDMF,7,29,150000,,10,1012,Brazil,Brazil,right,176,75,no,MG,Testing,2024,Primeiro Volante Equilibrado,0.315,8,13,38,0.467681,0.360461,0.311234,0.384887,0.499069,0.421688,0.392438,0.463204,0.325616,0.6,0.44557,8,5,6,11,7,7,7.5,4,3,1.5,6,38,61,53,15,46,46,42,69,76,88,53
9,0.653159,0.540978,0.222789,0.447333,0.151528,0.0,0.432203,0.786285,0.320394,0.616,0.113635,0.198854,Henrique Rocha,Pouso Alegre,Pouso Alegre,"DMF, LCMF",DMF,7,27,0,,12,938,Brazil,Brazil,unknown,0,0,no,MG,Testing,2024,Primeiro Volante Equilibrado,0.199,9,13,30,0.467681,0.360461,0.311234,0.384887,0.499069,0.421688,0.392438,0.463204,0.325616,0.6,0.44557,3,3,8,6,12,13,5.0,2,7,7.5,12,76,76,38,53,7,0,61,84,46,42,7
6,0.514899,0.265327,0.11275,0.367494,0.717351,0.446763,0.372881,0.273526,0.179322,0.616,0.277958,0.175043,Jorge Pedra,Democrata GV,Democrata GV,"RDMF, LDMF, DMF",RDMF,7,24,150000,,10,813,Brazil,Brazil,left,0,0,no,MG,Testing,2024,Primeiro Volante Equilibrado,0.175,10,13,23,0.467681,0.360461,0.311234,0.384887,0.499069,0.421688,0.392438,0.463204,0.325616,0.6,0.44557,6,8,10,8,4,5,7.5,11,10,7.5,9,53,38,23,38,69,61,42,15,23,42,30
