Unnamed: 0,Duelos_Aéreos_Ganhos,Passes_Curtos_Médios_Certos,Passes_Longos_Certos,Passes_Progressivos_Certos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Aéreos_Ganhos_LM,Passes_Curtos_Médios_Certos_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Defesas_LM,Gols_Evitados_LM,Saídas_LM,Interceptações.1_LM,xG_Evitado_LM,Finalizações_por_Gol_Sofrido_LM,Duelos_Aéreos_Ganhos_Rank,Passes_Curtos_Médios_Certos_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Defesas_Rank,Gols_Evitados_Rank,Saídas_Rank,Interceptações.1_Rank,xG_Evitado_Rank,Finalizações_por_Gol_Sofrido_Rank,Duelos_Aéreos_Ganhos_Percentil,Passes_Curtos_Médios_Certos_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Defesas_Percentil,Gols_Evitados_Percentil,Saídas_Percentil,Interceptações.1_Percentil,xG_Evitado_Percentil,Finalizações_por_Gol_Sofrido_Percentil
3,0.460967,1.0,0.0,0.0,1.0,1.0,0.697674,0.434426,1.0,1.0,1.0,Dalberson,América Mineiro,América Mineiro,GK,GK,0,27,200000,2024-06-30,9,926,Brazil,Brazil,left,191,85,no,MG,Testing,2024,Goleiro Líbero,1.0,1,12,91,0.391855,0.445649,0.436981,0.519519,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,6,1,12,12,1.0,1,5.0,7.5,1,1,50,91,0,0,91,91,58,37,91,91
5,0.64574,0.252516,0.32013,0.450732,0.776196,0.649775,0.031008,0.237705,0.780719,0.578857,0.786012,Jefferson Luis,Athletic Club,Athletic Club,GK,GK,0,29,0,2024-11-30,10,1057,Brazil,Brazil,right,192,84,no,MG,Testing,2024,Goleiro Líbero,0.786,2,12,83,0.391855,0.445649,0.436981,0.519519,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,3,10,10,8,2.0,2,11.0,11.0,2,2,75,16,16,33,83,83,8,8,83,83
2,1.0,0.360618,0.331185,0.201156,0.570977,0.296171,0.728682,0.278689,0.576235,0.344243,0.733762,Felipe Garcia,Tombense,Tombense,GK,GK,0,36,200000,,8,841,Brazil,Brazil,right,193,92,no,MG,Testing,2024,Goleiro Líbero,0.734,3,12,75,0.391855,0.445649,0.436981,0.519519,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,1,7,9,11,4.0,7,4.0,10.0,4,4,91,41,25,8,66,41,66,16,66,66
1,0.223048,0.582616,0.366685,0.212621,0.762752,0.602477,0.294574,0.614754,0.772606,0.567414,0.715519,Rafael Cabral,Cruzeiro,Cruzeiro,GK,GK,0,33,600000,2024-12-31,11,1154,Brazil,"Brazil, Portugal",right,186,83,no,MG,Testing,2024,Goleiro Líbero,0.716,4,12,66,0.391855,0.445649,0.436981,0.519519,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,8,5,8,10,3.0,3,10.0,4.0,3,3,33,58,33,16,75,75,16,66,75,75
10,0.56927,0.596742,0.380024,0.551592,0.495453,0.28491,0.403101,0.540984,0.498488,0.277314,0.565966,Luis Augusto,Democrata GV,Democrata GV,GK,GK,0,30,0,,11,1165,Brazil,Brazil,,191,85,no,MG,Testing,2024,Goleiro Líbero,0.566,5,12,58,0.391855,0.445649,0.436981,0.519519,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,4,4,7,7,5.0,8,8.0,5.0,5,5,66,66,41,41,58,33,33,58,58,58
9,0.193309,0.854909,0.650818,0.75297,0.460261,0.497748,0.372093,0.0,0.460481,0.247836,0.361657,Elias,Itabirito,Itabirito,GK,GK,0,28,0,,8,864,Brazil,Brazil,right,187,74,no,MG,Testing,2024,Goleiro Líbero,0.362,6,12,50,0.391855,0.445649,0.436981,0.519519,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,9,2,2,3,6.0,5,9.0,12.0,6,6,25,83,83,75,50,58,25,0,50,50
7,0.728625,0.278544,0.53169,0.642,0.134836,0.0,1.0,0.336066,0.135098,0.056872,0.207257,Glaycon,Villa Nova,Villa Nova,GK,GK,0,35,0,,6,632,Brazil,Brazil,right,192,95,no,MG,Testing,2024,Goleiro Líbero,0.207,7,12,41,0.391855,0.445649,0.436981,0.519519,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,2,9,4,5,9.0,12,1.0,9.0,9,9,83,25,66,58,25,0,91,25,25,25
4,0.514498,0.026111,0.48885,0.572078,0.0,0.584459,0.937984,0.45082,0.0,0.0,0.182524,Thiago Braga,Pouso Alegre,Pouso Alegre,GK,GK,0,39,100000,,12,1270,Brazil,Brazil,right,187,81,no,MG,Testing,2024,Goleiro Líbero,0.183,8,12,33,0.391855,0.445649,0.436981,0.519519,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,5,11,5,6,12.0,4,2.0,6.0,12,12,58,8,58,50,0,66,83,50,0,0
6,0.02974,0.0,0.55111,0.771089,0.338474,0.209459,0.465116,0.434426,0.334755,0.162664,0.145598,Rafael Pin,Uberlândia,Uberlândia,GK,GK,0,31,0,,9,928,Brazil,Brazil,right,186,80,no,MG,Testing,2024,Goleiro Líbero,0.146,9,12,25,0.391855,0.445649,0.436981,0.519519,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,11,12,3,2,7.0,9,7.0,7.5,7,7,8,0,75,83,41,25,41,37,41,41
11,0.089219,0.389821,0.210548,0.401908,0.299723,0.451577,0.0,1.0,0.300918,0.142497,0.124362,Douglas Baldini,Ipatinga,Ipatinga,GK,GK,0,29,0,,6,645,Brazil,Brazil,,194,84,no,MG,Testing,2024,Goleiro Líbero,0.124,10,12,16,0.391855,0.445649,0.436981,0.519519,0.407177,0.401933,0.52907,0.476093,0.408836,0.283007,10,6,11,9,8.0,6,12.0,1.0,8,8,16,50,8,25,33,50,0,91,33,33
