Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Finalizações_Bloqueadas_LM,Interceptações_Ajustadas_a_Posse_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Passes_Laterais_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Finalizações_Bloqueadas_Rank,Interceptações_Ajustadas_a_Posse_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Passes_Laterais_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Finalizações_Bloqueadas_Percentil,Interceptações_Ajustadas_a_Posse_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Passes_Laterais_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
2,0.725599,0.762552,0.413167,0.477941,0.690217,0.633891,0.684043,0.684057,0.713217,0.252733,0.191174,0.676,0.658446,1.0,Bruno Fuchs,Atlético Mineiro,Atlético Mineiro,"RCB, CB",RCB,4,25,1800000,2024-12-31,7,692,Brazil,Brazil,right,190,85,no,MG,Testing,2024,Zagueiro Equilibrado,1.0,1,26,96,0.466426,0.490949,0.427375,0.402715,0.441541,0.424289,0.405988,0.353756,0.458552,0.31349,0.166578,0.294308,0.29554,4.0,4,14,8.0,3.0,5,3,3,2,12.0,8.0,4.0,2,84,84,46,69,88,80,88,88,92,53,69,84,92
4,0.598527,0.759497,0.274211,0.183824,0.717391,0.413514,0.569293,0.325084,0.56935,0.789805,0.551464,0.2,0.405569,0.8005,Neris,Cruzeiro,Cruzeiro,"LCB, CB",LCB,4,31,700000,2024-12-31,8,720,Brazil,Brazil,right,190,88,no,MG,Testing,2024,Zagueiro Equilibrado,0.801,2,26,92,0.466426,0.490949,0.427375,0.402715,0.441541,0.424289,0.405988,0.353756,0.458552,0.31349,0.166578,0.294308,0.29554,8.0,5,21,25.0,2.0,12,7,14,8,3.0,3.0,15.5,6,69,80,19,3,92,53,73,46,69,88,88,40,76
11,1.0,0.934989,0.464842,1.0,0.596014,0.362517,0.181075,0.237196,0.398602,0.165248,0.0,0.204,0.235191,0.781086,Ruan,Ipatinga,Ipatinga,RCB,RCB,4,25,100000,,5,530,Brazil,Brazil,right,186,78,no,MG,Testing,2024,Zagueiro Equilibrado,0.781,3,26,88,0.466426,0.490949,0.427375,0.402715,0.441541,0.424289,0.405988,0.353756,0.458552,0.31349,0.166578,0.294308,0.29554,1.0,2,10,1.0,6.0,15,22,17,15,19.0,21.0,13.5,15,96,92,61,96,76,42,15,34,42,26,19,48,42
10,0.497238,0.549768,0.295195,0.367647,0.530797,0.49586,0.557161,0.47933,0.709229,0.402055,0.242644,0.528,0.374705,0.774358,Zé Vitor,Tombense,Tombense,LCB,LCB,4,23,100000,,6,544,Brazil,Brazil,left,189,86,no,MG,Testing,2024,Zagueiro Equilibrado,0.774,4,26,84,0.466426,0.490949,0.427375,0.402715,0.441541,0.424289,0.405988,0.353756,0.458552,0.31349,0.166578,0.294308,0.29554,10.0,11,19,14.5,10.0,8,8,6,3,6.0,6.0,6.0,10,61,57,26,44,61,69,69,76,88,76,76,76,61
25,0.751381,0.712927,0.41084,0.213235,0.61413,0.344807,0.373821,0.411701,0.448994,0.184699,0.0,0.076,0.23993,0.757167,Donato,Democrata GV,Democrata GV,RCB,RCB,4,30,0,,9,940,Brazil,Brazil,right,190,78,no,MG,Testing,2024,Zagueiro Equilibrado,0.757,5,26,80,0.466426,0.490949,0.427375,0.402715,0.441541,0.424289,0.405988,0.353756,0.458552,0.31349,0.166578,0.294308,0.29554,3.0,8,15,23.0,5.0,17,14,9,13,16.0,21.0,21.0,14,88,69,42,11,80,34,46,65,50,38,19,19,46
20,0.755064,0.752129,0.376245,0.514706,0.416667,0.656153,0.436113,0.40984,0.323346,0.0,0.0,0.056,0.247492,0.72824,Guilherme Souza,Patrocinense,Patrocinense,RCB,RCB,4,27,0,,7,647,Brazil,Brazil,right,188,79,no,MG,Testing,2024,Zagueiro Equilibrado,0.728,6,26,76,0.466426,0.490949,0.427375,0.402715,0.441541,0.424289,0.405988,0.353756,0.458552,0.31349,0.166578,0.294308,0.29554,2.0,6,16,6.5,15.0,4,10,10,21,25.0,21.0,23.0,13,92,76,38,75,42,84,61,61,19,3,19,11,50
3,0.278085,0.118556,0.551572,0.411765,0.541667,0.759667,1.0,0.73566,0.540892,0.204141,0.10294,0.56,0.538565,0.712887,Éder,América Mineiro,América Mineiro,"LCB, RCB",LCB,4,28,1500000,2024-12-31,7,641,Brazil,Brazil,right,184,82,no,MG,Testing,2024,Zagueiro Equilibrado,0.713,7,26,73,0.466426,0.490949,0.427375,0.402715,0.441541,0.424289,0.405988,0.353756,0.458552,0.31349,0.166578,0.294308,0.29554,22.0,24,9,11.0,9.0,3,1,2,11,15.0,12.0,5.0,3,15,7,65,57,65,88,96,92,57,42,53,80,88
0,0.13628,0.451761,0.277371,0.323529,0.188406,1.0,0.853025,1.0,0.541127,1.0,0.539252,1.0,1.0,0.712138,Zé Ivaldo,Cruzeiro,Cruzeiro,"RCB, LCB",RCB,4,27,3000000,,8,613,Brazil,Brazil,right,185,78,no,MG,Testing,2024,Zagueiro Equilibrado,0.712,8,26,69,0.466426,0.490949,0.427375,0.402715,0.441541,0.424289,0.405988,0.353756,0.458552,0.31349,0.166578,0.294308,0.29554,25.0,14,20,17.0,23.0,1,2,1,10,1.0,4.0,1.0,1,3,46,23,34,11,96,92,96,61,96,84,96,96
6,0.46593,0.495045,1.0,0.279412,0.577899,0.371431,0.657431,0.463724,1.0,0.182268,0.0,0.0,0.165372,0.692689,Ricardo Silva,América Mineiro,América Mineiro,RCB,RCB,4,31,300000,,7,717,Brazil,Brazil,right,190,84,no,MG,Testing,2024,Zagueiro Equilibrado,0.693,9,26,65,0.466426,0.490949,0.427375,0.402715,0.441541,0.424289,0.405988,0.353756,0.458552,0.31349,0.166578,0.294308,0.29554,14.0,12,1,21.0,7.5,14,4,7,1,18.0,21.0,26.0,18,46,53,96,19,71,46,84,73,96,30,19,0,30
23,0.399632,0.292661,0.567688,0.301471,0.527174,0.579359,0.420146,0.574765,0.340278,0.239796,0.058823,0.396,0.457093,0.658008,Lucas Costa,Itabirito,Itabirito,RCB,RCB,4,28,0,,10,1093,Brazil,Brazil,right,189,82,no,MG,Testing,2024,Zagueiro Equilibrado,0.658,10,26,61,0.466426,0.490949,0.427375,0.402715,0.441541,0.424289,0.405988,0.353756,0.458552,0.31349,0.166578,0.294308,0.29554,17.0,19,7,19.0,11.0,6,11,5,20,13.0,14.5,7.0,4,34,26,73,26,57,76,57,80,23,50,44,73,84
1,0.627993,0.901422,0.25051,0.389706,0.327899,0.437812,0.649585,0.233035,0.597556,0.298381,0.0,0.248,0.122842,0.637138,Jemerson,Atlético Mineiro,Atlético Mineiro,LCB,LCB,4,31,2000000,2024-12-31,10,1022,Brazil,"Brazil, Monaco",right,184,77,no,MG,Testing,2024,Zagueiro Equilibrado,0.637,11,26,57,0.466426,0.490949,0.427375,0.402715,0.441541,0.424289,0.405988,0.353756,0.458552,0.31349,0.166578,0.294308,0.29554,7.0,3,22,13.0,18.0,11,5,18,5,9.0,21.0,11.0,21,73,88,15,50,30,57,80,30,80,65,19,57,19
9,0.484346,0.326329,0.658878,0.463235,0.675725,0.395053,0.407067,0.393231,0.256991,0.252745,0.0,0.084,0.255639,0.624784,Danilo Cardoso,Athletic Club,Athletic Club,RCB,RCB,4,26,150000,,8,864,Brazil,Brazil,right,183,77,no,MG,Testing,2024,Zagueiro Equilibrado,0.625,12,26,53,0.466426,0.490949,0.427375,0.402715,0.441541,0.424289,0.405988,0.353756,0.458552,0.31349,0.166578,0.294308,0.29554,13.0,18,3,10.0,4.0,13,12,11,23,11.0,21.0,19.5,12,50,30,88,61,84,50,53,57,11,57,19,25,53
21,0.705341,0.720035,0.110362,0.198529,0.360507,0.540175,0.294501,0.421494,0.235655,0.0,0.0,0.052,0.201687,0.618538,Leo Alves,Patrocinense,Patrocinense,LCB,LCB,4,31,0,,7,668,Brazil,Brazil,,0,0,no,MG,Testing,2024,Zagueiro Equilibrado,0.619,13,26,50,0.466426,0.490949,0.427375,0.402715,0.441541,0.424289,0.405988,0.353756,0.458552,0.31349,0.166578,0.294308,0.29554,5.0,7,25,24.0,17.0,7,19,8,24,25.0,21.0,24.0,16,80,73,3,7,34,73,26,69,7,3,19,7,38
19,0.491713,0.103163,0.42804,0.330882,1.0,0.475551,0.346463,0.324089,0.559489,0.218722,0.110293,0.24,0.448547,0.614245,Renan Arantes,Villa Nova,Villa Nova,RCB,RCB,4,22,0,,6,598,Brazil,Brazil,,0,0,no,MG,Testing,2024,Zagueiro Equilibrado,0.614,14,26,46,0.466426,0.490949,0.427375,0.402715,0.441541,0.424289,0.405988,0.353756,0.458552,0.31349,0.166578,0.294308,0.29554,12.0,25,13,16.0,1.0,9,15,15,9,14.0,11.0,12.0,5,53,3,50,38,96,65,42,42,65,46,57,53,80
7,0.281768,0.278207,0.620032,0.316176,0.324275,0.871604,0.627916,0.6184,0.641949,0.10368,0.078423,0.384,0.375027,0.601791,Ednei,Tombense,Tombense,"RCB, LCB",RCB,4,33,250000,,8,841,Brazil,Brazil,right,189,81,no,MG,Testing,2024,Zagueiro Equilibrado,0.602,15,26,42,0.466426,0.490949,0.427375,0.402715,0.441541,0.424289,0.405988,0.353756,0.458552,0.31349,0.166578,0.294308,0.29554,20.5,20,5,18.0,19.0,2,6,4,4,22.0,13.0,8.0,9,21,23,80,30,26,92,76,84,84,15,50,69,65
